External Library Name, Link to License, License Name, Binaries using the license, URL
gfxstream, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master/LICENSE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./crashreport ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-emu-shared.so android-webrtc.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check android-emu-metrics.so android-emu-agents.so ./emulator gfxstream_backend.so android-emu-curl.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/hardware/google/gfxstream/+/refs/heads/master
upb_collections_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check ./netsim gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/e2fsck bin64/tune2fs bin64/mkfs.ext4 bin64/resize2fs ./emulator bin64/fsck.ext4, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check ./netsim gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so gfxstream_backend.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless emugl_common.so ./emulator-check, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check ./netsim gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
mesa, https://mesa3d.org/license.html, MIT, lib64/gles_mesa/libGL.so.1 lib64/gles_mesa/libGL.so ./emulator, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/MesaLib-10.4.2.tar.bz2
Qt Widgets, https://doc.qt.io/qt-6.5/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
upb_json_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check ./netsim gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless ./emulator-check, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
